PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,NaN,0.952942776108438,0.654504801191177,NaN,NaN,NaN,NaN,0.257623069066784,0.334693241675844,0.585681016815885,0.313713354337466,NaN,NaN,0.172775218739023,0.121941602683929,0.0484040383097064,0.0199607426902449,0.0626400741986761,0.0671107275827778
1750,NaN,NaN,NaN,0.951792310343582,0.645974205848976,NaN,NaN,NaN,NaN,0.625567806734147,0.414819103587978,0.550629106506987,0.268768484340273,NaN,NaN,0.0903520151202318,0.0449506993047833,0.013459914491458,0.00397654681876861,0.120243973228366,0.126829164662351
2000,NaN,NaN,NaN,0.932236755467869,0.626392628977472,NaN,NaN,NaN,NaN,0.692327048235486,0.403819736599414,0.481979442831131,0.214255406689547,NaN,NaN,0.0240708203512023,-0.00445642622745097,-0.00662630399043615,0.00604678636634029,0.186021131124385,0.19616650197719
2250,NaN,NaN,NaN,0.9010350894062,0.599905337577155,NaN,NaN,NaN,NaN,0.664165184704843,0.356403834497531,0.405520365353344,0.160454832350386,NaN,NaN,-0.0200802928045977,-0.0295289448033176,-0.0152082502055106,0.0218471704860007,0.255000931808482,0.268844970705652
2500,NaN,NaN,NaN,0.862585237853582,0.56919201784888,NaN,NaN,NaN,NaN,0.60118105931021,0.296366820846698,0.331931836912281,0.111660858143508,NaN,NaN,-0.0438131504088768,-0.0352313883744575,-0.0148978900264915,0.0481593521565983,0.32432492854093,0.341509528825385
2750,NaN,NaN,NaN,0.819800614210479,0.536025460212517,NaN,NaN,NaN,NaN,0.526416790142838,0.234750716880847,0.265527675764087,0.0694741858460262,NaN,NaN,-0.0505138703305691,-0.0260459808843958,-0.00772832841630521,0.0825736561304188,0.392382384099811,0.412382093403665
3000,NaN,NaN,NaN,0.774639391077985,0.501599099216381,NaN,NaN,NaN,NaN,0.450277703095039,0.176773195959495,0.207759288435447,0.0342244998346266,NaN,NaN,-0.0435639684013813,-0.00559159162327111,0.00470785187166791,0.123264455905068,0.458293265179026,0.480554884561104
3250,NaN,NaN,NaN,0.728431478519394,0.466726127544152,NaN,NaN,NaN,NaN,0.377815300833699,0.124803216699992,0.15874373431397,0.00563915416170685,NaN,NaN,-0.025888088971748,0.023316165099905,0.0211542087453277,0.168832408576328,0.521607268663732,0.545608216350205
3500,NaN,NaN,NaN,0.682085454422659,0.431964451651274,NaN,NaN,NaN,NaN,0.311467274093737,0.079757499899454,0.117977871567087,-0.0168222718187662,NaN,-0.0590329456983418,0.000114174676239309,0.0585146789137655,0.0406138360048976,0.218194924077804,0.58212795154003,0.607398274183438
3750,NaN,NaN,NaN,0.636222546060641,0.397697305886044,NaN,NaN,NaN,NaN,0.252286396730039,0.0417995893854129,0.0846916069766844,-0.0337935053680534,-0.130865707102989,-0.266543279994777,0.0325180517119867,0.0983482991416004,0.0622929525890861,0.270509230533958,0.6398086935071,0.665936581699993
