PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1500,NaN,NaN,26531.4030591536,3760.79308397077,2031.17878242748,NaN,NaN,30584.0627078411,59993.9839764493,2826.48205605171,3681.69376842354,NaN,NaN,28492.0584013803,43165.9988825098,3784.74597677342,NaN,NaN,NaN
1750,NaN,NaN,20360.8918519589,2855.8572429098,1593.15216020771,NaN,NaN,22276.8731657032,43391.1651247963,2098.71436880446,2615.09097118609,NaN,NaN,17394.8981219863,26321.2416888664,2340.25763870856,NaN,NaN,NaN
2000,NaN,NaN,16045.9740059146,2235.30941026816,1279.74246342017,NaN,NaN,16686.9660292004,32310.1520222193,1600.70262557876,1927.2799169874,NaN,NaN,11194.014007218,16917.5348884659,1518.36713406159,NaN,NaN,NaN
2250,NaN,NaN,12923.0118182331,1792.57212906823,1048.31377427772,119447.186210885,231624.750794066,12796.4087595984,24650.9992434501,1248.50737226291,1463.19059057989,NaN,NaN,7516.28401737825,11345.6984626278,1024.6476197207,NaN,NaN,NaN
2500,NaN,50225.1662625742,10597.7468588345,1466.40164809742,872.905486404494,91554.9539534977,176106.076162677,10010.4968309838,19199.0113906907,992.451849979831,1138.32407861837,NaN,NaN,5226.69295094138,7880.3732365308,714.508174428173,NaN,NaN,NaN
2750,NaN,43167.0891595451,8824.78665213311,1219.65753419125,737.007868029144,71563.3995988668,136681.398858847,7966.54906014395,15219.6586906577,801.856605481348,903.879935140873,NaN,NaN,3742.81562831644,5636.72834027246,512.251839799259,NaN,NaN,NaN
3000,NaN,37410.4643115667,7445.34466695417,1028.79873689603,629.732220302411,56890.0857813469,107978.888682769,6435.15900065285,12251.7178638447,657.077156651553,730.293301773596,NaN,NaN,2747.96195811784,4133.95868362717,376.081746663416,NaN,NaN,NaN
3250,NaN,32663.8093684559,6353.23690171845,878.342458174442,543.671446441491,45896.2093668932,86627.7037877135,5266.58460557214,9996.04992113985,545.138044752832,598.920179612534,NaN,NaN,2061.36666933899,3097.81326034986,281.855585981985,NaN,NaN,NaN
3500,NaN,28711.3852211213,5475.42145822351,757.781396308355,473.650875561562,37509.4111987586,70443.7721401458,4360.37095156596,8253.10495946607,457.234387524361,497.595631026194,NaN,NaN,1575.49839599751,2365.26529046988,215.07912276274,NaN,NaN,NaN
3750,NaN,25391.0372685577,4760.40726913561,659.790002783508,415.970731805298,31008.9564860182,57971.9546577099,3647.48700252601,6886.44166452893,387.248292612105,418.145700178812,NaN,NaN,1224.07297196156,1835.89457375274,166.753942352241,NaN,NaN,NaN
4000,NaN,22579.1820364872,4171.10739078,579.139939369011,367.931419485708,25898.8884552253,48218.7258045243,3079.47436855951,5800.71075266923,330.838975385233,354.935911452979,NaN,NaN,964.945930348361,1445.8983267984,131.127199884258,NaN,NaN,NaN
4250,NaN,20180.4387621574,3680.29772501343,512.022185727416,327.527367058598,21830.7150737461,40490.8623853047,2621.66371798952,4927.97128027323,284.868604287049,303.994125994372,NaN,NaN,770.581592073595,1153.61982494904,104.424421040306,NaN,NaN,NaN
4500,NaN,18120.3438237394,3267.65360989485,455.610832998145,293.244506792187,18554.9450505199,34295.2269792578,2248.82438267838,4218.96089308158,247.030708669114,262.463877487966,NaN,NaN,622.549953683698,931.197280927622,84.1113724748706,NaN,NaN,NaN
4750,NaN,16340.150113684,2917.76986535008,407.775108974917,263.923251723308,15889.9383195385,29274.8736132322,1942.30984441967,3637.39481803648,215.604175623431,228.25426357976,NaN,NaN,508.247277076939,759.590031520259,68.4510225647656,NaN,NaN,NaN
5000,NaN,14793.0608661829,2618.80970272476,366.884881291638,238.663895071175,13701.4305585975,25167.3550454246,1688.14573457136,3156.16362155824,189.287035421207,199.810217930226,NaN,NaN,418.886129559487,625.531789836084,56.2303991523338,NaN,NaN,NaN
5250,NaN,13441.4660142356,2361.56508824547,331.676588850431,216.760098376773,11888.7985733607,21776.9425006475,1475.7250032843,2754.74857790722,167.082065562096,175.958461971201,NaN,NaN,348.232065666866,519.616755303828,46.588085319707,NaN,NaN,NaN
5500,NaN,12254.8893875177,2138.79193712672,301.15911448952,197.651351033272,10375.6764459179,18955.76156663,1296.90218053887,2417.43402993329,148.216726331223,155.802163585499,NaN,NaN,291.791373605166,435.06976414521,38.9028740131636,NaN,NaN,NaN
5750,NaN,11208.4466782253,1944.73235246155,274.546592134876,180.888476370487,9103.43594645902,16590.7598953395,1145.35481687833,2132.05126446087,132.086259082046,138.647614148773,NaN,NaN,246.277988678485,366.939581848376,32.7204615687011,NaN,NaN,NaN
6000,NaN,10281.6749576048,1774.76635343288,251.209710448893,166.108258438378,8026.58696938282,14594.5608437743,1016.1268223577,1889.08296616413,118.212673768066,123.95236176618,NaN,NaN,209.257017063315,311.559753340769,27.7043048648582,NaN,NaN,NaN
6250,NaN,9457.63557435216,1625.15465690654,230.639930505133,153.014541577095,7109.48652228408,12898.9508641799,905.297569643451,1681.01615739201,106.214803843886,111.287976844505,NaN,NaN,178.902246056726,266.18205081089,23.602127020466,NaN,NaN,NaN
6500,NaN,8722.22035110905,1492.84640863017,212.422857512713,141.36398750766,6323.95321855918,11450.1800682456,809.739196860139,1501.86887288486,95.7861791205395,100.312957679974,NaN,NaN,153.828581904103,228.723319461884,20.2227382030744,NaN,NaN,NaN
6750,NaN,8063.61046675577,1375.3338590605,196.218192267519,130.955226726108,5647.51723892431,10205.5291677721,726.936585883313,1346.83994129443,86.6784934791885,90.7527672558352,NaN,NaN,132.974576058281,197.588091089631,17.4197676587261,NaN,NaN,NaN
7000,NaN,7471.85107934541,1270.54138634873,181.744473011175,121.620512915668,5062.12209836891,9130.77276204617,654.852425942168,1212.0470879854,78.6891250787708,82.3849538509333,NaN,NaN,115.518958758081,171.542614592905,15.08009662312,NaN,NaN,NaN
7250,NaN,6938.51444874155,1176.73993522518,168.7673465847,113.2192434165,4553.15154396205,8198.28496025046,591.825080055748,1094.32913812799,71.6516249904872,75.0279417280102,NaN,NaN,100.820595619376,149.624283409206,13.1155336532266,NaN,NaN,NaN
7500,NaN,6456.43128314618,1092.48046163691,157.090468523331,105.63288510539,4108.69307351442,7385.61063925516,536.490572444276,991.095244644609,65.4284030435055,68.5325023967925,NaN,NaN,88.3747935377152,131.075758240595,11.4567556346556,NaN,NaN,NaN
7750,NaN,6019.4750837445,1016.54172963665,146.548381566209,98.7609688399227,3718.97547889154,6674.37788911913,487.722489691731,900.208962928023,59.9050560065833,62.7752050986382,NaN,NaN,77.7811608117559,115.296533942741,10.0488512271823,NaN,NaN,NaN
8000,NaN,5622.38795823678,947.889046107195,137.000897299389,92.5179035934711,3375.93564148964,6049.46298162335,444.585310043824,819.898392449187,54.9859346474253,57.6533435359623,NaN,NaN,68.7197277439937,101.80697199324,8.84801054780078,NaN,NaN,NaN
8250,NaN,5260.63910421574,885.64140298543,128.328630059798,86.8304246182053,3072.88221529687,5498.34400526498,406.297886691488,748.685990743485,50.5906533922321,53.0809741650912,NaN,NaN,60.9330371418896,90.221337785825,7.81904349330261,NaN,NaN,NaN
8500,NaN,4930.30919695053,829.04513423347,120.429421541812,81.6355358682196,2804.2325687734,5010.59670875361,372.204672553614,685.333357933646,46.6513229837406,48.9857989188996,NaN,NaN,54.2125932636553,80.2274091106943,6.93350308490775,NaN,NaN,NaN
8750,NaN,4627.99544305482,777.452659263847,113.215459342472,76.8788405647879,2565.30557281386,4577.49842985167,341.752893138645,628.797503380979,43.1103419381138,45.3066947912352,NaN,NaN,48.3885231713751,71.5709258002034,6.16825470897224,NaN,NaN,NaN
9000,NaN,4350.73321671144,730.305226082919,106.610940151842,72.5131786856056,2352.15728947074,4191.71482058355,314.474323074696,578.195984329967,39.9186230090018,41.9917428394233,NaN,NaN,43.3216271067423,64.0436381082298,5.50437688389863,NaN,NaN,NaN
9250,NaN,4095.93107539571,687.118820837813,100.550163396342,68.4975087452458,2161.44985715646,3847.05046779331,289.970650495139,532.778947884189,37.0341606009877,38.9966456290305,NaN,NaN,38.8972206172622,57.47405295409,4.92631057411555,NaN,NaN,NaN
9500,NaN,3861.31662740542,647.47260006558,94.9759673250693,64.79598522015,1990.34624034055,3538.24916909454,267.901655986966,491.906580199494,34.4208671378734,36.2834489206323,NaN,NaN,35.0203312421748,51.7202188833884,4.42119630967789,NaN,NaN,NaN
9750,NaN,3644.89124503589,610.99934494443,89.8384392194624,61.3771935781077,1836.42526282575,3260.83305447054,247.975613241454,455.030817721125,32.0476228928459,33.8195032277319,NaN,NaN,31.611926996098,46.664063317358,3.97835427296018,NaN,NaN,NaN
10000,NaN,3444.89202246938,577.377545507373,85.0938463302958,58.2135129750083,1697.61264652911,3010.972288699,229.941453810249,421.680437930602,29.8874962224557,31.576615680351,NaN,NaN,28.6059364312993,42.2069202049646,3.58887398868023,NaN,NaN,NaN
