PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1500,NaN,NaN,43483.5624338,10069.3159732399,2153.42069681207,NaN,NaN,57539.8567839052,120753.573089715,11136.3695436811,22198.3056087638,540.369657673668,NaN,124071.801032317,187225.188240264,15490.3620434616,23768.0067791433,NaN,NaN
1750,NaN,NaN,34444.7059296141,7705.52401330826,1683.19888349725,NaN,NaN,44684.8909270923,91918.4142954679,8397.09054256622,16414.6968256534,403.579944937963,NaN,79980.303240776,120315.205240656,10272.2290988673,15750.0515303809,NaN,NaN
2000,NaN,NaN,27882.5389479166,6072.78272867656,1348.62686963641,NaN,NaN,35362.6966327799,71508.2328876551,6491.73123638877,12503.4151609143,310.388999309551,NaN,53861.6278978107,80800.0590229459,7073.0888433226,10839.1375382108,NaN,NaN
2250,NaN,NaN,22980.0943113911,4900.27747025997,1102.64002093956,NaN,NaN,28443.6091033888,56671.3707363622,5124.77433956771,9758.88256291548,244.508105686046,NaN,37594.259232641,56255.8588685289,5025.16909672033,7697.76761088656,NaN,NaN
2500,NaN,NaN,19228.9516622205,4031.36369126818,916.833773979196,NaN,NaN,23203.9761037289,45637.0093800877,4118.18308598447,7773.36794263246,196.493203697247,NaN,27035.0082781411,40363.1155076491,3665.92231432017,5613.98027083228,NaN,NaN
2750,NaN,NaN,16299.9361856665,3370.48163103527,773.272603509001,NaN,NaN,19165.9303084915,37266.8081893538,3360.26921486172,6299.61726768182,160.594382262906,NaN,19939.1317778212,29706.9567471684,2735.61560369966,4188.42260933293,NaN,NaN
3000,NaN,NaN,13972.6822461129,2856.7330298998,660.196375813976,NaN,NaN,16005.4429416655,30806.8183284187,2778.5134664267,5181.5202352831,133.165276125625,NaN,15027.8751997257,22346.6584456799,2081.83711028975,3186.95914330181,NaN,NaN
3250,NaN,NaN,12095.3849774166,2449.86544986735,569.643887636227,NaN,NaN,13497.623917926,25744.4989732314,2324.41211383154,4317.07716266399,111.812326248317,NaN,11541.1539021215,17131.1634629063,1611.7129174662,2467.01934621213,NaN,NaN
3500,NaN,NaN,10560.8463758309,2122.43545808109,496.075936470214,NaN,NaN,11483.1358604241,21723.3358320237,1964.6757205484,3637.65002254433,94.917136142515,NaN,9010.3980927093,13352.2934166089,1266.7684032311,1938.89229139033,NaN,NaN
3750,NaN,NaN,9291.70986406342,1855.22741783475,435.545725901263,NaN,NaN,9846.98816949169,18490.2457830726,1675.93277751482,3095.8517516992,81.356961946906,NaN,7137.46007708842,10560.2712391401,1009.1185170561,1544.48397143796,NaN,NaN
4000,NaN,NaN,8231.07600575167,1634.47156927274,385.181865019174,NaN,127659.110007823,8504.81063500992,15862.2739166906,1441.44194194584,2658.22259327128,70.3351885977165,NaN,5727.29582257526,8461.3649745616,813.590111369914,1245.209081116,NaN,NaN
4250,NaN,NaN,7336.37558448907,1450.09815077553,342.856528214294,58395.9676914543,108702.077759669,7393.76821138679,13704.9827211872,1248.99436296164,2300.66186660562,61.2752501332712,NaN,4649.14489160933,6858.96912520001,663.076633768818,1014.85581537629,NaN,NaN
4500,NaN,27997.0288892624,6575.27279533412,1294.60969853016,306.966851481837,50423.0340196827,93259.4939981063,6466.42561074237,11918.1164646382,1089.54222987833,2005.4994538652,53.7523979239006,NaN,3813.41026907179,5618.57329106763,545.717096198208,835.255241525149,NaN,NaN
4750,NaN,25615.6856068482,5922.86689222535,1162.33389257647,276.287561138272,43816.5937813989,80561.0125744663,5686.52779305097,10425.9008990176,956.282290319963,1759.5722201974,47.4487274691185,NaN,3157.4884364485,4646.32590286782,453.137284320943,693.582669662062,NaN,NaN
5000,NaN,23507.0884671407,5359.74380620488,1048.91722189798,249.869551354221,38298.5311388893,70029.091525668,5026.04953972423,9170.36021264289,844.031210425542,1552.93270386253,42.1228807321891,NaN,2636.85957585055,3875.57544156629,379.327017604535,580.635690609595,NaN,NaN
5250,NaN,21632.4626509406,4870.59589162346,950.974840289364,226.968775620602,33655.5985268757,61225.2062163093,4463.10087737245,8106.63654743038,748.792170925715,1377.96508402709,37.5892300442301,NaN,2219.35466908537,3258.22265348416,319.907971098565,489.711637577492,NaN,NaN
5500,NaN,19959.5519886465,4443.22865714144,865.843983855572,206.995547005775,29722.4986542126,53812.4959358261,3980.41923264209,7199.66242321781,667.449221865159,1228.76912830251,33.7033198714063,NaN,1881.3890485224,2759.04657666205,271.64684492836,415.861441370862,NaN,NaN
5750,NaN,18461.3638823883,4067.83566364967,791.407434429358,189.477833395388,26369.8125368656,47529.4178601673,3564.2699426779,6421.76215043015,597.54850713794,1100.72389417909,30.3515193453371,NaN,1605.44056043566,2351.9102909885,232.125887203719,355.384795339999,NaN,NaN
6000,NaN,17115.1847715303,3736.46219315232,725.965222339834,174.034311451909,23495.2696036505,42170.8984491588,3203.63496154771,5750.90075330572,537.139517615468,990.174139564157,27.4435583749176,NaN,1378.33160303616,2017.1792376814,199.516264986574,305.482991696552,NaN,NaN
6250,NaN,15901.8019415551,3442.6037269006,668.140101245071,160.354330233602,21017.3562741404,37574.6707964293,2889.6075993865,5169.39048379643,484.658445083431,894.201856943914,24.9070704727608,NaN,1190.04008637695,1739.93642062476,172.419836321224,264.016589985707,NaN,NaN
6500,NaN,14804.8840312173,3180.90198138736,616.807024770582,148.182836380745,18870.5828258783,33611.250386751,2614.93632850614,4662.92486971755,438.84147018107,810.457735668234,22.6835528357258,NaN,1032.8643757973,1508.73032049626,149.757147470915,229.333912772788,NaN,NaN
6750,NaN,13810.484556335,2946.91241432533,571.039918441964,137.308908406826,17001.9408935421,30176.4972813037,2373.67764901921,4219.85000350097,398.659604787034,737.035392139653,20.7253410691032,NaN,900.828882741684,1314.68456864675,130.687134249347,200.148108091724,NaN,NaN
7000,NaN,12906.6414989056,2736.92468640997,530.071073968435,127.556947878541,15368.2257488542,27186.0394686956,2160.92957747093,3830.60957855706,363.269238420888,672.376507814825,18.9933195009808,NaN,789.255641205804,1150.85688425019,114.548867947629,175.44797479003,NaN,NaN
7250,NaN,12083.0524400055,2547.8227766845,493.259864574086,118.779848303446,13933.9934821516,24571.0507744304,1972.62531872858,3487.31849178687,331.974251941073,615.19856605658,17.4551710282608,NaN,694.451920161522,1011.77209078447,100.818825814891,154.432560678435,NaN,NaN
7500,NaN,11330.8094916015,2376.9750839054,460.068419073013,110.853651416295,12669.9890237006,22275.0251115232,1805.37227449527,3183.43250197546,304.196738836531,564.439292914398,16.0840270003424,NaN,613.479972802404,893.078237547266,89.0792249614391,136.462699508334,NaN,NaN
7750,NaN,10642.1818601576,2222.14741230165,430.042544105639,103.673332911807,11551.9266409028,20251.2908780207,1656.32549785782,2913.49030667377,279.454193073979,519.213570230342,14.8574167212494,NaN,543.985607590211,791.290800715042,78.9943283832631,121.02475211637,NaN,NaN
8000,NaN,10010.4365755184,2081.43357265952,402.796642103479,97.1494535501312,10559.536645519,18461.080309134,1523.08753100062,2672.91068280902,257.341598631249,478.779750011602,13.7564434851657,NaN,484.069344878189,703.600595104257,70.2925554969296,107.703232360059,NaN,NaN
8250,NaN,9429.68997206513,1953.19965255799,378.001698479784,91.2054789027488,9675.81483629939,16872.0185705401,1403.62860453247,2457.83183151864,237.51726585127,442.513118312258,12.7651334072727,NaN,432.188720148662,627.728243164607,62.7528603008971,96.1599646845255,NaN,NaN
8500,NaN,8894.78408152427,1836.03897424842,355.375646005224,85.7756198245545,8886.42755124244,15456.9329378592,1296.22266429178,2264.98331584113,219.691554551509,409.884841653765,11.8699171566022,NaN,387.083586376919,561.812993955499,56.194276064136,86.118087625795,NaN,NaN
8750,NaN,8401.18330878639,1728.73546882149,334.675584756059,80.8030814797193,8179.23704435179,14192.9079616165,1199.39578489666,2091.58334874362,203.617837866431,380.445150738446,11.05921470767,NaN,347.718552674691,504.327115156028,50.4678298884296,77.3496837829608,NaN,NaN
9000,NaN,7944.88770217355,1630.23372277218,315.691461121644,76.2386351615909,7543.92055539439,13060.5310564885,1111.8843397831,1935.25593172576,189.085217642236,353.809823304041,10.3231005355083,NaN,313.238299514295,454.009486244579,45.4502454085183,69.6661458689163,NaN,NaN
9250,NaN,7522.35986315815,1539.61434816584,298.240902032115,72.0394468372181,6971.66281997068,12043.2865246866,1032.60090299062,1793.96363703635,175.912618130866,329.649253639923,9.65303206268474,NaN,282.932647365883,409.813724683185,41.039005109921,62.9106230194885,NaN,NaN
9500,NaN,7130.46311623825,1456.07362590759,282.16496981692,68.1681111477674,6454.90650744486,11127.0660417634,960.606313736796,1665.95279309107,163.943971121959,307.679563559987,9.04162816772577,NaN,256.209069139871,370.867395555329,37.148453991139,56.9520603069374,NaN,NaN
9750,NaN,6766.40901395841,1378.90659853834,267.324655275482,64.5918508085905,5987.14862402515,10299.7710883591,895.086680341673,1549.70856070843,153.044270533942,287.655334629527,8.48248756164133,NaN,232.570924541021,336.439734772517,33.7067063254917,51.6804668987796,NaN,NaN
10000,NaN,6427.71261241461,1307.49296283688,253.597966149303,61.2818499099184,5562.7735959748,9550.98840150224,835.334363770177,1443.91794003293,143.096323573788,269.363635579447,7.97003910203682,NaN,211.600122692985,305.915956490017,30.6531758565201,47.0031379573662,NaN,NaN
