PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1500,NaN,NaN,52228.5347349956,14894.540774748,2413.03070353147,NaN,NaN,70471.9463139466,159541.734245095,17701.0480640283,35709.1326933605,1183.88914996782,1762.43243955031,236593.26541629,357462.848379175,29226.1107761128,44369.4013761016,NaN,NaN
1750,NaN,NaN,42215.4934238465,11519.6437359078,1884.68067516203,NaN,NaN,56757.4284162001,124938.409044844,13665.3480569598,27004.5760830295,901.143022372551,1362.21160364379,157266.391481837,236455.183207454,20155.4154123014,30465.7325037419,NaN,NaN
2000,NaN,NaN,34763.1686152573,9158.83688571843,1509.58535359729,NaN,NaN,46367.9669526985,99613.3080645992,10778.8135218358,20957.2493846288,704.508203017778,1077.64841882528,108671.893358137,162701.466356195,14351.5581560221,21614.3598871375,NaN,NaN
2250,NaN,NaN,29076.9938995398,7445.65210972591,1234.2278775548,NaN,NaN,38356.361328128,80662.2936931784,8658.02912481302,16617.4156360949,563.008671529432,869.233020449528,77539.2241622311,115657.486099971,10497.6302928434,15761.6409890848,NaN,NaN
2500,NaN,NaN,24646.3304123229,6164.76663521052,1026.45378139641,NaN,NaN,32081.1140091387,66205.3384992645,7063.82707630905,13417.3219054603,458.266220363384,712.742301407553,56836.1834155712,84494.5974328411,7856.91592458077,11765.7723569595,NaN,NaN
2750,NaN,NaN,21131.3699601282,5183.0992690579,866.029734046404,NaN,NaN,27097.3640691314,54989.272017945,5841.62334788885,11002.7123027959,378.866906271218,592.722867303215,42628.2481192635,63182.260744943,5998.15460320633,8961.84245616858,NaN,NaN
3000,NaN,NaN,18299.164298751,4414.89609034767,739.724731917473,NaN,NaN,23090.0855405322,46157.1680076651,4888.40856505598,9144.40051051882,317.445406187392,498.977847047789,32611.1840387916,48203.1882152053,4658.92912564075,6947.06750515726,NaN,NaN
3250,NaN,NaN,15985.8724518351,3802.93226551425,638.600906121599,NaN,NaN,19831.9927057488,39109.7286476525,4133.69806010231,7689.44842444315,269.091783220642,424.581007348282,25381.942519786,37423.5413405351,3674.13057150572,5469.00433235787,NaN,NaN
3500,NaN,NaN,14073.6532075579,3307.86648933262,556.450020094229,NaN,NaN,17156.3353870848,33419.3804959414,3528.12909930044,6533.0232345621,230.439997564033,364.707739254367,20057.0063923305,29504.0515935137,2936.79749262693,4364.66950251043,NaN,NaN
3750,NaN,NaN,12476.0662471734,2901.94897450466,488.854524895617,NaN,NaN,14938.9149410325,28775.5773254771,3036.41425727855,5601.55956793503,199.125543527804,315.922330328766,16063.4655633008,23578.8875007074,2375.83326815874,3526.05374132726,NaN,NaN
