PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1500,NaN,NaN,NaN,16917.6499255068,2592.2331818837,NaN,NaN,74362.161509557,174788.493924648,20220.1847974163,41690.0506812778,1574.84261562789,2497.12519123669,298021.167053714,450987.617242348,36642.8970406952,55529.4010280316,1599.54563368073,NaN
1750,NaN,NaN,44947.6967188506,13159.5444539524,2024.91293738584,NaN,NaN,60745.4867886382,138422.147462151,15800.8458718353,31811.2801011202,1209.13376155815,1930.77844347556,200562.683912273,301783.471657652,25668.5467095694,38678.635121259,894.108024428478,NaN
2000,NaN,NaN,37281.2843367365,10511.9401762595,1622.36377916161,NaN,NaN,50251.0531969224,111448.707792524,12593.2264078954,24873.4288202891,952.318326218396,1528.2974309336,140040.911324833,209682.454392723,18524.5531737477,27780.9559741409,531.303028090743,NaN
2250,NaN,NaN,31378.5349371757,8579.38631477002,1326.93190931945,NaN,NaN,42034.3306709669,91027.2272049793,10206.7423347972,19848.9800555522,765.969261716944,1233.57095896175,100817.478224358,150302.307633682,13709.7866731573,20476.9337472174,331.738791842576,NaN
2500,NaN,NaN,26742.938751417,7127.39166123163,1104.03058889985,NaN,NaN,35510.4504008607,75287.2544084447,8393.15298121387,16115.164383302,627.026859992383,1012.26193698082,74474.7848939235,110603.821431391,10367.6848688473,15430.9487055277,215.781577175699,NaN
2750,NaN,NaN,23040.0962283681,6009.92346458392,931.920573189349,NaN,NaN,30265.7027629089,62963.3856445341,6989.40154425661,13278.8391586739,521.02944171606,842.494504291044,56240.1723101087,83235.4533872329,7988.17495047124,11853.0446125187,145.263377849518,NaN
3000,NaN,NaN,20038.3625175842,5132.2772148765,796.397949402142,NaN,NaN,26001.879650785,53178.9000923488,5885.2939925298,11083.0996640076,438.565550805938,709.848208845789,43286.3418856551,63863.6916412729,6256.19760230356,9258.13953462957,100.69600763686,NaN
3250,NaN,NaN,17573.3143260131,4430.9070494052,687.873485471936,NaN,NaN,22500.3658329516,45313.4342617507,5004.49011001022,9355.0117738703,373.314203840388,604.53482342456,33874.4370912419,49835.0304827883,4970.87729914809,7338.53333378776,71.5863714045514,NaN
3500,NaN,NaN,15525.7281202018,3861.91707234417,599.689452449146,NaN,NaN,19598.4359358716,38919.7031444655,4292.93519907025,7975.1262178604,320.913095627645,519.739436336546,26899.764017185,39470.3526146071,4000.53343544423,5893.42456954205,52.0232062475501,NaN
3750,NaN,NaN,13807.5135147232,3394.21484790659,527.109935248057,NaN,NaN,17173.2829711624,33669.7382447744,3711.60568619534,6859.05069748765,278.279521399642,450.610486177289,21640.3338197081,31676.1688569579,3256.70222072989,4788.45151355978,38.5439380038486,NaN
4000,NaN,NaN,12352.4861263156,3005.28976064973,466.693848173019,NaN,NaN,15131.0542520658,29319.3815047471,3231.8376521969,5945.95744150951,243.189196420929,393.625543813472,17612.3401969712,25722.1189590965,2678.64258675604,3931.68731300932,29.0501878084454,NaN
4250,NaN,NaN,11110.1705831611,2678.52752449466,415.893689850557,NaN,NaN,13399.196276058,25684.3504676775,2832.24666537432,5191.21596464501,214.007327887944,346.182032697872,14484.3063068349,21109.2989714557,2223.82582454464,3258.97429613531,22.2317013891409,NaN
