PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1500,NaN,NaN,NaN,22117.3875634082,3506.90134962675,NaN,NaN,NaN,NaN,25482.2848428001,59770.4190491027,3173.46150465323,6182.81913680641,NaN,802914.914901179,63380.5961185934,96237.645391147,17322.8810924775,24491.2877977387
1750,NaN,NaN,NaN,17558.5108947284,2745.90112882049,NaN,NaN,NaN,NaN,20708.367646904,46750.2913046351,2502.90143207771,4795.67620237382,366617.081207662,554751.849183418,46349.3096530986,69759.0490180143,10267.6970436129,14468.6929785589
2000,NaN,NaN,NaN,14262.2248824132,2205.788674914,NaN,NaN,NaN,143739.17261802,17072.6013957086,37326.1210491755,2017.04650819889,3808.56918041635,263588.519001499,396028.001078801,34717.722160186,51859.5723886048,6416.79599829307,9018.93970135785
2250,NaN,NaN,NaN,11804.1857047475,1809.05825610371,NaN,NaN,50033.3423221152,120225.235442702,14252.4522954227,30324.3702497817,1654.96990473407,3084.46175623732,194598.006970315,290564.691223774,26545.7692332686,39394.1463580024,4187.22131811251,5873.18163821927
2500,NaN,NaN,31733.4583154982,9923.93888067948,1509.35292492774,NaN,NaN,43428.3069960459,101573.338349883,12029.6609017858,25005.6468455867,1378.69003374325,2539.62392169042,146939.764377877,218203.775806603,20662.6987685271,30488.5021231544,2832.27770603692,3966.10878052417
2750,NaN,NaN,27729.5289641522,8454.56863959564,1277.59058795269,NaN,NaN,37937.7876643452,86588.9683299279,10252.8115513331,20887.4900911101,1163.59781878497,2120.75055169918,113129.304673467,167175.190913523,16336.548427993,23983.4782563491,1974.80636686398,2761.62788130402
3000,NaN,NaN,24424.4405516406,7285.17394752605,1094.79089914459,NaN,NaN,33336.1395138667,74413.1766124334,8814.53809812909,17645.4878469733,993.218394322471,1792.70779763923,88583.8245228762,130327.516835032,13095.4111025827,19138.8000811684,1413.16439589157,1973.9987655118
3250,NaN,NaN,21665.982072865,6339.77917191441,948.147038985402,NaN,NaN,29450.413744999,64417.5504325626,7637.21858869006,15055.7412941387,856.208289200991,1531.64046980377,70401.9922106846,103164.11698129,10626.7382296546,15468.2614516654,1034.24678611761,1443.35268672708
3500,NaN,NaN,19341.021168016,5564.94685807955,828.768486035591,NaN,NaN,26146.5372952752,56135.1357899872,6663.75529658336,12960.154064296,744.564358126128,1320.92930842574,56692.7773469043,82772.0312132661,8718.54183198509,12644.5342493391,771.950368617385,1076.45649374347
3750,NaN,NaN,17364.0945422104,4922.22206620074,730.329877157561,NaN,NaN,23319.4852908494,49214.0384699655,5851.48976382438,11244.8191128118,652.518154318652,1148.73269352595,46191.6998915028,67214.1373528895,7223.96212239418,10442.3596124939,586.242446021012,816.950698289128
4000,NaN,NaN,15669.6949321689,4383.37072602228,648.233295156971,NaN,NaN,20886.1938100977,43385.659411201,5168.10058889779,9826.18126779434,575.832638108517,1006.44406546486,38033.839005723,55172.0196218629,6039.30935033975,8703.64623216907,452.112448240348,629.679960977532
4250,NaN,NaN,14206.9489118557,3927.29185539256,579.072750095,NaN,NaN,18780.3823152756,38442.5697984402,4588.78436635735,8641.95641106729,511.342822449893,887.696807853455,31615.4760372573,45729.6036375718,5090.11101961833,7315.46495470681,353.499938406789,492.100234873594
4500,NaN,NaN,12935.8760316947,3537.96413311924,520.282519929237,NaN,NaN,16948.725739648,34222.8557239885,4094.28445208023,7645.03910382846,456.648612997309,787.706359047883,26507.4779987543,38238.4479149963,4322.04404035547,6195.84790103635,279.836934763871,389.394901456559
4750,NaN,NaN,11824.7151828298,3203.04940243399,469.900666602049,NaN,NaN,15347.9929239877,30598.87960232,3669.49058033171,6799.33316015364,409.905055133357,702.825640225321,22399.7575440815,32231.7998818397,3694.92032466744,5284.42954980192,224.015988458189,311.609523620586
5000,NaN,NaN,10847.9845032401,2912.92370982699,426.406594919127,NaN,NaN,13942.8853484577,27469.1044907809,3302.42951009666,6076.84649152436,369.676363491901,630.238662471234,19064.8819136964,27368.5430483948,3178.62309132999,4536.16010861811,181.162082164486,251.922621059206
5250,NaN,NaN,9985.05393146484,2659.99274560704,388.607326046672,NaN,NaN,12704.3890770534,24752.073307563,2983.52777641039,5455.63353694472,334.832585575514,567.745576284679,16333.7571192579,23395.9028979645,2750.31438117453,3917.00854767818,147.871380457899,205.575188613898
5500,NaN,NaN,9219.0815238443,2438.20024484951,355.556495830724,NaN,NaN,11608.5067625476,22381.9244476038,2705.06655346685,4918.31610547649,304.475300157752,513.609417582415,14079.0881706212,20124.179216139,2392.48615278889,3400.97844660238,121.728473390124,169.19262234935
5750,NaN,NaN,8536.21151975185,2242.66967289643,326.495754327626,NaN,NaN,10635.2738688667,20305.0164203513,2460.77397729664,4451.0054003781,277.883427986721,466.445219983101,12203.9435633304,17409.3402414815,2091.58058789353,2968.00500947982,100.993821286245,140.346162946313
6000,NaN,NaN,7924.96318733447,2069.43948913015,300.81176431715,NaN,NaN,9767.9893911431,18477.3622473303,2245.51704739479,4042.50647574825,254.473192466984,425.138691311379,10633.7294907339,15140.8485535834,1837.0004152948,2602.45291386899,84.3975333839252,117.263808827062
6250,NaN,NaN,7375.76038674873,1915.26509922785,278.00423308784,NaN,NaN,8992.60985262207,16862.6614611629,2055.06649870992,3683.72427368632,233.768178635697,388.785827407664,9310.47880728664,13233.0259370238,1620.39029202485,2292.02984643682,71.0009284613625,98.6364107104994
6500,NaN,NaN,6880.56607537411,1777.46898872619,257.661860664659,NaN,NaN,8297.26859690966,15430.777555597,1885.91572004959,3367.21537200438,215.376694301843,356.647556486164,8188.73493798849,11618.8485708824,1435.10905997641,2026.99153158402,60.1021071534418,83.48551155361
6750,NaN,NaN,6432.59588106338,1653.82610928307,239.444043445682,NaN,NaN,7671.89196395379,14156.5505893765,1735.14010386665,3086.84630321101,198.974476027835,328.115309928649,7232.54998896988,10245.4346667764,1275.83806918766,1799.55373849193,51.170591025281,71.0719309742822
7000,NaN,NaN,6026.09182062633,1542.47536124374,223.066813324894,NaN,NaN,7107.89092084943,13018.8641761888,1600.28692567981,2837.5306754157,184.291351638058,302.68462892755,6413.27122493063,9070.72607624249,1138.28760930859,1603.45297908349,43.8014617687291,60.8316632151099
7250,NaN,NaN,5656.14217959555,1441.85060479243,208.29192906618,NaN,NaN,6597.91185876597,11999.9071535654,1479.28847882087,2615.02515842696,171.100862414802,279.934745295003,5707.89203677261,8061.02242107671,1018.97483779521,1433.61519284422,37.6827740429286,52.3303543596088
7500,NaN,NaN,5318.53711802595,1350.6264328817,194.918338398151,NaN,NaN,6135.63408295632,11084.5853974734,1370.39306956497,2415.76986290294,159.212121036637,259.512648635803,5097.8116073068,7189.13082906049,915.054334178127,1285.90366018357,32.5721264783249,45.2305901525277
7750,NaN,NaN,5009.65214384137,1267.67520801951,182.775440512156,NaN,NaN,5715.60437774149,10260.0502868131,1272.10983571763,2236.7624982435,148.463373887492,241.120554427948,4567.89356612641,6432.96489568175,824.187754921428,1156.9256028271,28.2796313763122,39.2681292002448
8000,NaN,NaN,4726.3534847869,1192.03276967056,171.717728334017,NaN,NaN,5333.10118055584,9515.31842336228,1183.16434245901,2075.45844873104,138.71687381866,224.505972966251,4105.74551254014,5774.47470554905,744.442796592175,1043.8826476541,24.6554079517695,34.2344566904735
8250,NaN,NaN,4465.92078854189,1122.87087120344,161.620497246873,NaN,NaN,4984.02253316458,8840.96320975913,1102.46263856604,1929.69089368758,129.85476861161,209.453783821287,3701.1631949459,5198.82309795174,674.214310477587,944.454353044848,21.5803088627987,29.9638535879479
8500,NaN,NaN,4225.98362467197,1059.47488035509,152.37638469538,NaN,NaN,4664.79322720906,8228.86336336624,1029.06199760767,1797.60654409946,121.775782653369,195.77986879264,3345.69850123531,4693.74669165625,612.162291075146,856.70685600946,18.9589817716574,26.3237253514217
8750,NaN,NaN,4004.46904808407,1001.22562657601,143.892562008305,NaN,50934.0349986218,4372.28752217243,7671.99680904157,962.146973968631,1677.61363157215,114.392522495091,183.325964859724,3032.32130504866,4249.05667844059,557.162813781641,779.020750403639,16.7146336724643,23.2073065786832
