PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1500,NaN,NaN,NaN,26275.8530654906,6907.9043949532,NaN,NaN,NaN,NaN,26868.076522245,88587.0827265417,6781.03530200694,19059.5975617792,NaN,NaN,113912.367362101,176665.43509494,129938.428807235,179931.933192607
1750,NaN,NaN,NaN,21690.2898309617,5468.09160697793,NaN,NaN,NaN,NaN,23181.6312378617,71766.0953655859,5589.5245817446,14968.20836071,NaN,NaN,88437.0484929142,135534.700043207,82211.6202650806,113330.401463564
2000,NaN,NaN,NaN,18199.5568644458,4439.178394736,NaN,NaN,NaN,NaN,20154.0795965663,59050.2924608379,4678.24318535941,12020.918311677,NaN,NaN,69812.2023261046,105882.560363689,54318.4190006247,74606.4898118822
2250,NaN,NaN,NaN,15482.1475853863,3677.92253878098,NaN,NaN,NaN,NaN,17642.8217792008,49243.541932503,3966.87698604446,9834.92352057012,NaN,NaN,55920.1996481352,84035.8241260591,37198.2752781602,50938.6559939947
2500,NaN,NaN,NaN,13326.2303561397,3098.59091539393,NaN,NaN,NaN,NaN,15541.0195657374,41548.104135076,3401.73536152782,8173.53052210255,NaN,NaN,45374.1863291687,67630.7074532935,26253.1928836402,35860.4304949455
2750,NaN,NaN,NaN,11587.6888424656,2647.2894907691,NaN,NaN,NaN,NaN,13767.5030786635,35417.1908805458,2945.87304061537,6884.42456784941,NaN,391756.26786032,37242.2470583524,55103.2267017039,19010.5859715942,25912.2106427442
3000,NaN,NaN,NaN,10165.7475847029,2288.74184321219,NaN,NaN,NaN,NaN,12259.8179507652,30466.9705497609,2573.22371236701,5866.22452350309,211727.148085937,312701.150753687,30883.7622080253,45392.9622350179,14074.4373328818,19149.1026142324
3250,NaN,NaN,NaN,8988.24284364457,1999.0620732701,NaN,NaN,NaN,NaN,10969.3521049291,26422.2820878796,2264.99031362668,5049.47125718523,172238.643553848,252840.702802002,25849.3380949099,37765.1468109626,10623.1242990478,14430.6345063818
3500,NaN,NaN,NaN,8002.41376453834,1761.60396234133,NaN,NaN,NaN,82775.0026618922,9857.86582162991,23082.1563050627,2007.35421512365,4385.36912119781,141660.758074458,206805.185785546,21817.9424158321,31700.6870647283,8155.42698428064,11063.2718906766
3750,NaN,NaN,NaN,7168.9715009028,1564.47506836107,NaN,NaN,NaN,74007.7552681111,8894.9851067668,20297.3462962436,1789.98140077064,3838.8790987275,117666.373843857,170906.792215234,18556.4485646364,26826.4061410914,6355.86801896776,8611.6893459126
4000,NaN,NaN,NaN,6458.17845182256,1398.99354454398,NaN,NaN,27083.8225369336,66443.465208571,8056.36679666016,17955.3441374012,1605.02464011499,3384.34909329715,98611.4434689108,142561.582796371,15893.0295272133,22869.7639658762,5020.33794982262,6794.91580744495
4250,NaN,NaN,17494.5038236201,5847.1956326908,1258.69988991697,NaN,NaN,24889.7896125804,59881.9893289447,7322.33889812342,15970.1817120669,1446.44250433819,3002.67343580315,83314.2586780738,119926.196601962,13699.3128067873,19628.8468760965,4013.51670516184,5427.0702063657
4500,NaN,NaN,16118.0030550476,5318.25052255056,1138.70658534959,NaN,NaN,22928.1570313107,54161.9369514028,6676.88165236574,14275.3578585812,1309.52556920979,2679.40152580163,70912.0537836389,101664.048576746,11878.1955804358,16952.0976831616,3243.71202650081,4382.43890833677
4750,NaN,NaN,14895.941774321,4857.34787761465,1035.25965712986,NaN,NaN,21168.8248165317,49152.1777525474,6106.85591349857,12818.8501385654,1190.56097824757,2403.451126468,60765.9090511363,86791.6029450399,10355.3877080135,14724.3866934654,2647.56395800498,3574.30015176382
5000,NaN,NaN,13806.1807508995,4453.34724187257,945.436704591732,NaN,NaN,19586.2649796525,44745.4138894211,5601.41310596093,11559.5423422531,1086.59117774972,2166.21595223379,52396.49376774,74575.3149498022,9073.45346916814,12857.2878722531,2180.50803741857,2941.7508110374
5250,NaN,NaN,12830.3972923451,4097.29270905072,866.934883625116,NaN,NaN,18158.7299129338,40853.2681367038,5151.53992455755,10464.6296910867,995.237866021515,1960.93583270293,45439.9001156457,64461.3077459857,7987.55543078698,11282.1915144087,1810.69147103104,2441.31984599154
5500,NaN,NaN,11953.3237907096,3781.91913745259,797.919449408034,NaN,NaN,16867.6138390118,37402.4970263624,4749.70401991417,9507.70966336255,914.571822484854,1782.24509539584,39616.8077483694,56026.6039130236,7062.3751929991,9945.36036439252,1515.01072878901,2041.51615335534
