X-ray absorption edges for Ru
  Edge  	  Energy (eV)  	  Width (eV)	  Fluorescence Yield	  Edge Jump
    K	  22117.0	  5.330	  0.77646	  6.503
    L1	  3224.0	  4.580	  0.01200	  1.145
    L2	  2967.0	  2.230	  0.04000	  1.400
    L3	  2838.0	  2.000	  0.04300	  3.518
    M1	  586.1	  7.287	  0.00012	  1.040
    M2	  483.3	  3.195	  0.00026	  1.058
    M3	  461.5	  3.195	  0.00023	  1.134
    M4	  284.2	  0.183	  0.00290	  1.079
    M5	  280.0	  0.183	  0.00000	  1.193
    N1	  75.0	  6.645	  0.00000	  1.000
    N2	  46.3	  3.493	  0.00001	  1.000
    N3	  43.2	  3.493	  0.00001	  1.000
