X-ray absorption edges for Te
  Edge  	  Energy (eV)  	  Width (eV)	  Fluorescence Yield	  Edge Jump
    K	  31814.0	  9.890	  0.88316	  6.085
    L1	  4939.0	  3.320	  0.04100	  1.149
    L2	  4612.0	  3.120	  0.07400	  1.400
    L3	  4341.0	  2.950	  0.07400	  2.978
    M1	  1006.0	  9.654	  0.00036	  1.040
    M2	  870.8	  4.824	  0.00080	  1.058
    M3	  820.8	  4.824	  0.00061	  1.142
    M4	  583.4	  0.644	  0.00270	  1.152
    M5	  573.0	  0.609	  0.00000	  1.130
    N1	  169.4	  3.922	  0.00001	  1.206
    N2	  103.3	  5.501	  0.00003	  1.005
    N3	  103.3	  5.501	  0.00003	  1.411
    N4	  41.9	  0.128	  0.00003	  1.000
    N5	  40.4	  0.128	  0.00003	  1.000
    O1	  12.0	  0.100	  0.00000	  1.000
    O2	  2.0	  0.100	  0.00000	  1.000
    O3	  2.0	  0.100	  0.00000	  1.000
