X-ray absorption edges for Pt
  Edge  	  Energy (eV)  	  Width (eV)	  Fluorescence Yield	  Edge Jump
    K	  78395.0	  49.300	  0.98159	  4.973
    L1	  13880.0	  9.390	  0.11400	  1.155
    L2	  13273.0	  5.860	  0.32100	  1.400
    L3	  11564.0	  5.310	  0.30600	  2.563
    M1	  3296.0	  20.752	  0.00197	  1.040
    M2	  3027.0	  14.244	  0.02928	  1.058
    M3	  2645.0	  10.160	  0.00387	  1.157
    M4	  2202.0	  3.078	  0.02217	  1.075
    M5	  2122.0	  2.396	  0.02480	  1.094
    N1	  725.4	  15.467	  0.00012	  1.048
    N2	  609.1	  13.000	  0.00011	  1.005
    N3	  519.4	  13.000	  0.00008	  1.060
    N4	  331.6	  8.000	  0.00014	  1.020
    N5	  314.6	  8.000	  0.00015	  1.022
    N6	  74.5	  0.172	  0.00003	  1.000
    N7	  71.2	  0.172	  0.00003	  1.000
    O1	  101.7	  0.100	  0.00000	  1.085
    O2	  65.3	  0.100	  0.00000	  1.000
    O3	  51.7	  0.100	  0.00000	  1.000
