X-ray absorption edges for Np
  Edge  	  Energy (eV)  	  Width (eV)	  Fluorescence Yield	  Edge Jump
    K	  118669.0	  100.000	  0.96923	  4.191
    L1	  22427.0	  14.000	  0.15000	  1.158
    L2	  21600.0	  9.910	  0.46600	  1.400
    L3	  17610.0	  7.590	  0.50200	  2.380
    M1	  5739.0	  22.000	  0.00496	  1.040
    M2	  5366.0	  15.857	  0.01719	  1.058
    M3	  4435.0	  10.000	  0.00945	  1.162
    M4	  3849.0	  4.372	  0.07627	  1.415
    M5	  3664.0	  4.006	  0.05983	  2.387
    N1	  1501.0	  13.381	  0.00074	  1.017
    N2	  1328.0	  9.073	  0.00094	  1.005
    N3	  1085.0	  9.073	  0.00061	  1.060
    N4	  816.0	  5.362	  0.00072	  1.020
    N5	  771.0	  5.362	  0.00074	  1.007
    N6	  414.0	  0.317	  0.00030	  1.023
    N7	  403.0	  0.317	  0.00030	  1.111
    O1	  338.0	  0.100	  0.00000	  1.273
    O2	  274.0	  0.100	  0.00000	  1.160
    O3	  206.0	  0.100	  0.00000	  1.500
    O4	  109.0	  0.100	  0.00000	  1.050
    O5	  101.0	  0.100	  0.00000	  1.100
    P1	  47.0	  0.100	  0.00000	  1.000
    P2	  29.0	  0.100	  0.00000	  1.000
    P3	  18.0	  0.100	  0.00000	  1.000
