X-ray absorption edges for Am
  Edge  	  Energy (eV)  	  Width (eV)	  Fluorescence Yield	  Edge Jump
    K	  124982.0	  109.000	  0.97015	  4.095
    L1	  23808.0	  13.300	  0.17400	  1.158
    L2	  22952.0	  10.900	  0.47100	  1.400
    L3	  18510.0	  8.040	  0.52600	  2.357
    M1	  6133.0	  22.000	  0.00526	  1.040
    M2	  5739.0	  15.993	  0.01931	  1.058
    M3	  4698.0	  10.000	  0.01035	  1.163
    M4	  4096.0	  4.684	  0.08793	  1.410
    M5	  3890.0	  4.285	  0.06657	  2.338
    N1	  1620.0	  13.018	  0.00080	  1.017
    N2	  1438.0	  8.048	  0.00101	  1.005
    N3	  1165.0	  8.048	  0.00067	  1.060
    N4	  880.0	  5.017	  0.00077	  1.020
    N5	  829.0	  5.017	  0.00079	  1.024
    N6	  461.0	  0.500	  0.00026	  1.084
    N7	  446.0	  0.500	  0.00026	  1.133
    O1	  365.0	  0.100	  0.00000	  1.066
    O2	  298.0	  0.100	  0.00000	  1.160
    O3	  219.0	  0.100	  0.00000	  1.500
    O4	  116.0	  0.100	  0.00000	  1.050
    O5	  106.0	  0.100	  0.00000	  1.100
    P1	  48.0	  0.100	  0.00000	  1.000
    P2	  29.0	  0.100	  0.00000	  1.000
    P3	  16.0	  0.100	  0.00000	  1.000
