E_eV,f1,f2
10,-9999,2.2382
10.1447,-9999,2.20464
10.3088,-9999,2.17288
10.4756,-9999,2.14408
10.645,-9999,2.11566
10.8172,-9999,2.09307
10.9921,-9999,2.12057
11.1699,-9999,2.20711
11.3506,-9999,2.32651
11.5342,-9999,2.50051
11.7207,-9999,2.70468
11.9103,-9999,2.90608
12.1029,-9999,3.10741
12.2987,-9999,3.30207
12.4976,-9999,3.47987
12.6997,-9999,3.65905
12.9052,-9999,3.8317
13.1139,-9999,3.99671
13.2,-9999,4.06604
13.4,-9999,4.14903
13.6167,-9999,4.28511
13.8,-9999,4.40189
14,-9999,4.48484
14.2,-9999,4.61366
14.4,-9999,4.68521
14.6,-9999,4.78024
14.8361,-9999,4.92749
15.0761,-9999,5.08904
15.32,-9999,5.27782
15.4,-9999,5.34063
15.6,-9999,5.57004
15.8,-9999,5.76754
16.0556,-9999,6.10461
16.3152,-9999,6.46138
16.5791,-9999,6.83899
16.8473,-9999,7.15482
17.1198,-9999,7.4778
17.3967,-9999,7.81536
17.4,-9999,7.81949
17.6,-9999,8.00166
17.8847,-9999,8.15603
18.1739,-9999,8.31339
18.4,-9999,8.43669
18.6,-9999,8.46479
18.9008,-9999,8.37323
19,-9999,8.34358
19.2,5.20954,8.31758
19.5105,5.55318,8.20842
19.8261,5.83296,8.10068
20.1468,6.08563,7.99436
20.4726,6.32197,7.88943
20.8038,6.54462,7.78587
21.1403,6.75545,7.68369
21.4822,6.94723,7.59194
21.8,7.13155,7.53526
22,7.2872,7.5141
22.3558,7.54382,7.40221
22.7174,7.8279,7.26913
23,8.04828,7.13196
23.2,8.20198,7.01413
23.5752,8.43173,6.72563
23.8,8.56012,6.56063
24,8.63892,6.40783
24.3882,8.76673,6.04135
24.4,8.78171,6.03061
24.6,8.78027,5.88373
24.9979,8.78793,5.56663
25,8.79451,5.56501
25.4,8.78192,5.36448
25.8108,8.80884,5.10496
26.2283,8.78624,4.858
26.6525,8.74684,4.62299
27.0836,8.69546,4.39935
27.5217,8.64475,4.15808
27.9668,8.5457,3.90057
28.4191,8.40811,3.659
28.8788,8.23954,3.4324
29.3459,8.04072,3.21983
29.8205,7.80668,3.02042
30.3028,7.51286,2.83337
30.793,7.19169,2.75214
31.291,6.89336,2.68998
31.7971,6.56777,2.62922
32.3114,6.20519,2.64651
32.834,5.88145,2.70805
33.3651,5.55201,2.77103
33.9048,5.19658,2.88268
34.4531,4.87012,3.0258
35.0104,4.54167,3.17602
35.5766,4.18396,3.3337
36.1521,3.74406,3.52307
36.7368,3.29256,3.85938
37.331,2.88452,4.22779
37.9348,2.41946,4.63138
38.5484,1.90217,5.07349
39.1718,1.13881,5.83319
39.8054,0.839567,7.10494
40.4492,0.90621,8.5742
41.1035,1.21934,9.55601
41.7683,1.69776,10.6502
42.4439,2.33239,11.5398
43.1304,3.23612,12.4914
43.8279,4.28586,12.8588
44.5368,5.06363,13.1002
45.2572,5.77948,13.3462
45.9892,6.48792,13.5968
46.733,7.19499,13.7169
47.4889,7.87006,13.7968
48.257,8.46744,13.8772
